antecedents,predicted_cause,confidence,support,lift
"Accident Type_Hwy-rail crossing, RUCC_2023_1, Region_South",M,1.0,0.020188133140376267,3.903403474085581
"Accident Type_Hwy-rail crossing, Track Type_Main, Visibility_Dark",M,1.0,0.01874095513748191,3.903403474085581
"Accident Type_Hwy-rail crossing, Weather Condition_Cloudy",M,1.0,0.018523878437047756,3.903403474085581
"Accident Type_Hwy-rail crossing, Track Type_Main, Weather Condition_Cloudy",M,1.0,0.018234442836468887,3.903403474085581
"Accident Type_Hwy-rail crossing, Visibility_Day, Weather Condition_Cloudy",M,1.0,0.011758321273516642,3.903403474085581
"Accident Type_Hwy-rail crossing, RUCC_2023_3",M,1.0,0.01023878437047757,3.903403474085581
"Accident Type_Hwy-rail crossing, Region_South, Weather Condition_Cloudy",M,1.0,0.010094066570188133,3.903403474085581
"Accident Type_Hwy-rail crossing, RUCC_2023_3, Track Type_Main",M,1.0,0.009913169319826338,3.903403474085581
"Accident Type_Hwy-rail crossing, Region_South, Visibility_Dark",M,1.0,0.008646888567293776,3.903403474085581
"Accident Type_Hwy-rail crossing, RUCC_2023_3, Weather Condition_Clear",M,1.0,0.00756150506512301,3.903403474085581
"Accident Type_Hwy-rail crossing, RUCC_2023_1, Weather Condition_Cloudy",M,1.0,0.007380607814761216,3.903403474085581
"Accident Type_Hwy-rail crossing, Track Type_Main, Visibility_Dusk",M,1.0,0.007091172214182344,3.903403474085581
"Accident Type_Hwy-rail crossing, RUCC_2023_3, Visibility_Day",M,1.0,0.006801736613603474,3.903403474085581
"Accident Type_Hwy-rail crossing, RUCC_2023_6",M,1.0,0.00658465991316932,3.903403474085581
"Accident Type_Hwy-rail crossing, RUCC_2023_6, Track Type_Main",M,1.0,0.006548480463096961,3.903403474085581
"Accident Type_Hwy-rail crossing, RUCC_2023_2, Region_West",M,1.0,0.006005788712011577,3.903403474085581
"Accident Type_Hwy-rail crossing, Region_Midwest, Weather Condition_Cloudy",M,1.0,0.005065123010130246,3.903403474085581
"Accident Type_Hwy-rail crossing, Region_Midwest",M,0.9984939759036144,0.02398697539797395,3.897524854395693
"Accident Type_Hwy-rail crossing, Region_Midwest, Track Type_Main",M,0.9984496124031008,0.023299565846599132,3.897351685753666
"Accident Type_Hwy-rail crossing, Visibility_Dark",M,0.9981308411214953,0.019319826338639653,3.896107392825608
"Accident Type_Hwy-rail crossing, RUCC_2023_1, Track Type_Main",M,0.9980582524271845,0.03719247467438495,3.8958240498640557
"Accident Type_Hwy-rail crossing, RUCC_2023_2, Track Type_Main",M,0.9980237154150198,0.018270622286541246,3.8956892379707875
"Accident Type_Hwy-rail crossing, Track Type_Main",M,0.9980119284294234,0.09081041968162083,3.8956432286102616
"Accident Type_Hwy-rail crossing, Region_West",M,0.9979381443298969,0.017510853835021708,3.8953552194998378
"Accident Type_Hwy-rail crossing, Region_West, Track Type_Main",M,0.9978494623655915,0.01678726483357453,3.895009058012279
"Accident Type_Hwy-rail crossing, Region_Midwest, Weather Condition_Clear",M,0.9977876106194691,0.016316931982633863,3.894767625691587
"Accident Type_Hwy-rail crossing, Track Type_Main, Weather Condition_Clear",M,0.9977753058954394,0.06490593342981187,3.8947195953890614
"Accident Type_Hwy-rail crossing, Region_South, Track Type_Main",M,0.9976415094339622,0.045911722141823444,3.8941973338165115
"Accident Type_Hwy-rail crossing, Region_Midwest, Visibility_Day",M,0.9974874371859297,0.014363241678726484,3.8935959276682808
"Accident Type_Hwy-rail crossing, Track Type_Main, Visibility_Day",M,0.9974842767295597,0.05738060781476122,3.8935835911319066
