antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,feature_set
frozenset({'Accident Type_Hwy-rail crossing'}),frozenset({'Cause_M'}),0.09530698454950523,0.256235171575719,0.09504658295237545,0.9972677595628416,3.8920018412388133,1.0,0.07062558141396857,272.2179272032976,0.8213424902872384,0.3705583756345178,0.9963264726527243,0.6841013594562175,3_features_track
frozenset({'Accident Type_Side collision'}),frozenset({'Cause_H'}),0.048868699728024996,0.39297494357965396,0.041722122562351714,0.8537596210775606,2.1725548537536925,1.0,0.02251794804392004,4.150871742080827,0.5674426099046416,0.10427362788343336,0.7590867504138537,0.47996477593415654,3_features_track
"frozenset({'Track Type_Main', 'Accident Type_Hwy-rail crossing'})",frozenset({'Cause_M'}),0.09261616804583069,0.256235171575719,0.09244256698107749,0.9981255857544518,3.895349649372782,1.0,0.06871104727116843,396.79853596435964,0.819150186986528,0.36052809749492215,0.997479829411241,0.6794489717390145,3_features_track
"frozenset({'Track Type_Yard', 'Accident Type_Side collision'})",frozenset({'Cause_H'}),0.04169318905155952,0.39297494357965396,0.035703952317574214,0.8563497571131158,2.1791459509161766,1.0,0.019319573702381767,4.22571548938028,0.5646465391350031,0.08949162375806803,0.763353684716087,0.47360265060780216,3_features_track
"frozenset({'RUCC_2023_1', 'Accident Type_Hwy-rail crossing'})",frozenset({'Cause_M'}),0.03966784329610555,0.256235171575719,0.03955210925293675,0.9970824215900802,3.891278529245297,1.0,0.02938781261992041,254.9253949424197,0.7737063155798155,0.1542889390519187,0.9960772837079418,0.5757205242548413,3_features_track
"frozenset({'RUCC_2023_1', 'Track Type_Main', 'Accident Type_Hwy-rail crossing'})",frozenset({'Cause_M'}),0.03836583531045657,0.256235171575719,0.038307968288872174,0.9984917043740573,3.896778487644102,1.0,0.028477291895451555,493.1160812453001,0.7730359356268945,0.1494694061864981,0.9979720799259383,0.5739974330361705,3_features_track
frozenset({'Equipment Type_Light loco(s)'}),frozenset({'Cause_H'}),0.049042300792778194,0.39297494357965396,0.032550199641224464,0.6637168141592921,1.6889545376949973,1.0,0.013277804254166036,1.8051008256710293,0.42895467591606573,0.07949406444318824,0.4460143246412513,0.37327351531112885,3_features_equipment
frozenset({'Accident Type_Hwy-rail crossing'}),frozenset({'Cause_M'}),0.09530698454950523,0.256235171575719,0.09504658295237545,0.9972677595628416,3.8920018412388133,1.0,0.07062558141396857,272.2179272032976,0.8213424902872384,0.3705583756345178,0.9963264726527243,0.6841013594562175,3_features_equipment
frozenset({'Accident Type_Side collision'}),frozenset({'Cause_H'}),0.048868699728024996,0.39297494357965396,0.041722122562351714,0.8537596210775606,2.1725548537536925,1.0,0.02251794804392004,4.150871742080827,0.5674426099046416,0.10427362788343336,0.7590867504138537,0.47996477593415654,3_features_equipment
"frozenset({'Accident Type_Hwy-rail crossing', 'Equipment Type_Freight Train'})",frozenset({'Cause_M'}),0.050257508246050575,0.256235171575719,0.05022857473525837,0.9994242947610823,3.9004180753763014,1.0,0.037350833486863494,1291.9195069729162,0.7829672084542734,0.19600316134131193,0.999225957968277,0.5977247941736757,3_features_equipment
"frozenset({'RUCC_2023_1', 'Accident Type_Hwy-rail crossing'})",frozenset({'Cause_M'}),0.03966784329610555,0.256235171575719,0.03955210925293675,0.9970824215900802,3.891278529245297,1.0,0.02938781261992041,254.9253949424197,0.7737063155798155,0.1542889390519187,0.9960772837079418,0.5757205242548413,3_features_equipment
