antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Accident Type_Hwy-rail crossing'}),frozenset({'Cause_M'}),0.09530698454950523,0.256235171575719,0.09504658295237545,0.9972677595628416,3.8920018412388133,1.0,0.07062558141396857,272.2179272032976,0.8213424902872384,0.3705583756345178,0.9963264726527243,0.6841013594562175
frozenset({'Accident Type_Side collision'}),frozenset({'Cause_H'}),0.048868699728024996,0.39297494357965396,0.041722122562351714,0.8537596210775606,2.1725548537536925,1.0,0.02251794804392004,4.150871742080827,0.5674426099046416,0.10427362788343336,0.7590867504138537,0.47996477593415654
"frozenset({'Accident Type_Hwy-rail crossing', 'Weather Condition_Clear'})",frozenset({'Cause_M'}),0.06929575834731787,0.256235171575719,0.06909322377177246,0.9970772442588725,3.891258323856724,1.0,0.0513372132421779,254.47382343943315,0.7983349457831013,0.2694347286471849,0.9960703227291352,0.6333624703679186
"frozenset({'Accident Type_Side collision', 'Weather Condition_Clear'})",frozenset({'Cause_H'}),0.03327353741102945,0.39297494357965396,0.02858630866269313,0.8591304347826088,2.1862219177555975,1.0,0.015510642175898327,4.309128486934558,0.5612651712807976,0.07188591385331781,0.7679345132009782,0.46593688577593106
"frozenset({'Track Type_Main', 'Accident Type_Hwy-rail crossing'})",frozenset({'Cause_M'}),0.09261616804583069,0.256235171575719,0.09244256698107749,0.9981255857544518,3.895349649372782,1.0,0.06871104727116843,396.79853596435964,0.819150186986528,0.36052809749492215,0.997479829411241,0.6794489717390145
"frozenset({'Track Type_Main', 'Accident Type_Obstruction'})",frozenset({'Cause_M'}),0.034315143799548635,0.256235171575719,0.024680284705746194,0.7192242833052277,2.8068913369010025,1.0,0.015887537946623377,2.64896422375735,0.6666087572034406,0.09282838176080094,0.6224939578151124,0.40777158158034643
"frozenset({'Track Type_Yard', 'Accident Type_Side collision'})",frozenset({'Cause_H'}),0.04169318905155952,0.39297494357965396,0.035703952317574214,0.8563497571131158,2.1791459509161766,1.0,0.019319573702381767,4.22571548938028,0.5646465391350031,0.08949162375806803,0.763353684716087,0.47360265060780216
"frozenset({'Visibility_Day', 'Accident Type_Hwy-rail crossing'})",frozenset({'Cause_M'}),0.059892367339853016,0.256235171575719,0.05974769978589202,0.9975845410628019,3.8932381332670007,1.0,0.044401168764488796,307.91863896765096,0.7904886403030407,0.23304367452883418,0.9967523888669011,0.6153798947409764
"frozenset({'Region_Midwest', 'Accident Type_Hwy-rail crossing'})",frozenset({'Cause_M'}),0.024506683640993,0.256235171575719,0.024477750130200798,0.998819362455726,3.8980572273255194,1.0,0.01819827584269909,629.9688096753174,0.7621394606226788,0.0955176696398329,0.9984126198239633,0.5471739088701394
"frozenset({'Accident Type_Hwy-rail crossing', 'Region_South'})",frozenset({'Cause_M'}),0.04753775823158382,0.256235171575719,0.04742202418841502,0.9975654290931223,3.893163545654527,1.0,0.035241178551620095,305.50140327526765,0.7802298618193888,0.18498871331828437,0.9967266926132611,0.5913188482412314
"frozenset({'RUCC_2023_1', 'Accident Type_Hwy-rail crossing'})",frozenset({'Cause_M'}),0.03966784329610555,0.256235171575719,0.03955210925293675,0.9970824215900802,3.891278529245297,1.0,0.02938781261992041,254.9253949424197,0.7737063155798155,0.1542889390519187,0.9960772837079418,0.5757205242548413
"frozenset({'RUCC_2023_1', 'Accident Type_Side collision'})",frozenset({'Cause_H'}),0.025548290029512182,0.39297494357965396,0.02181586713731844,0.8539071347678369,2.1729302305879825,1.0,0.011776029304414255,4.1550629830943056,0.5539442716431139,0.05499234191525052,0.7593297612891313,0.4547108932563967
"frozenset({'Track Type_Main', 'Accident Type_Hwy-rail crossing', 'Weather Condition_Clear'})",frozenset({'Cause_M'}),0.0669521439731497,0.256235171575719,0.0668364099299809,0.9982713915298184,3.895918680448688,1.0,0.04968091583165864,430.2679532434137,0.7966591706482551,0.2607223476297968,0.9976758668814121,0.6295557499654512
"frozenset({'Track Type_Yard', 'Accident Type_Side collision', 'Weather Condition_Clear'})",frozenset({'Cause_H'}),0.028007638446849142,0.39297494357965396,0.024159481511486603,0.8626033057851239,2.195059303088312,1.0,0.013153181373036714,4.41804702717966,0.5601190546216016,0.060882245716368945,0.7736556460698499,0.462040866557707
"frozenset({'Visibility_Day', 'Accident Type_Hwy-rail crossing', 'Weather Condition_Clear'})",frozenset({'Cause_M'}),0.044904808749493666,0.256235171575719,0.044789074706324865,0.997422680412371,3.89260644539435,1.0,0.033282883331823505,288.5807534286096,0.7780404810381631,0.1747178329571106,0.996534765440456,0.5861097141899253
"frozenset({'Accident Type_Hwy-rail crossing', 'Weather Condition_Clear', 'Region_South'})",frozenset({'Cause_M'}),0.03474914646143163,0.256235171575719,0.03466234592905503,0.9975020815986677,3.892916321613951,1.0,0.025758392423400306,297.7538529791794,0.7698756943256295,0.1352297098995372,0.996641521209568,0.5663888005102643
"frozenset({'RUCC_2023_1', 'Accident Type_Hwy-rail crossing', 'Weather Condition_Clear'})",frozenset({'Cause_M'}),0.02849950813031653,0.256235171575719,0.028383774087147734,0.9959390862944163,3.8868164747637324,1.0,0.021081197731552478,183.15208899948166,0.7645081427243912,0.11072234762979681,0.9945400568158256,0.5533557220089967
"frozenset({'Visibility_Day', 'Track Type_Main', 'Accident Type_Hwy-rail crossing'})",frozenset({'Cause_M'}),0.058503558821827444,0.256235171575719,0.05838782477865864,0.9980217606330365,3.8949444547198517,1.0,0.04339715534615752,375.97312076845407,0.7894421016018708,0.22776523702031598,0.9973402353924766,0.612944936323745
"frozenset({'Region_Midwest', 'Accident Type_Hwy-rail crossing', 'Track Type_Main'})",frozenset({'Cause_M'}),0.02384121289277241,0.256235171575719,0.02381227938198021,0.9987864077669903,3.897928616219819,1.0,0.017703322105827427,612.8622186216359,0.7616112208241523,0.09292085356215422,0.9983683118821567,0.5458588768735584
"frozenset({'Track Type_Main', 'Accident Type_Hwy-rail crossing', 'Region_South'})",frozenset({'Cause_M'}),0.04643828482148024,0.256235171575719,0.04635148428910364,0.9981308411214953,3.8953701593090693,1.0,0.03445236241018954,397.91418320698557,0.7794828330957634,0.18083305113443957,0.9974868953100879,0.5895125750322924
"frozenset({'RUCC_2023_1', 'Track Type_Main', 'Accident Type_Hwy-rail crossing'})",frozenset({'Cause_M'}),0.03836583531045657,0.256235171575719,0.038307968288872174,0.9984917043740573,3.896778487644102,1.0,0.028477291895451555,493.1160812453001,0.7730359356268945,0.1494694061864981,0.9979720799259383,0.5739974330361705
"frozenset({'Visibility_Day', 'Accident Type_Hwy-rail crossing', 'Region_South'})",frozenset({'Cause_M'}),0.031277125166367686,0.256235171575719,0.031190324633991087,0.9972247918593894,3.8918341526924363,1.0,0.023176025100591625,268.00325984220996,0.7670426319382871,0.12168416299808105,0.9962687021023968,0.5594750878899476
