antecedents,predicted_cause,confidence,support,lift
"Track Type_Industry, Visibility_Day, Weather Condition_Cloudy",T,0.6969696969696969,0.006637806637806638,3.4848484848484844
"Region_Midwest, Track Type_Industry, Visibility_Day",T,0.6774193548387096,0.006060606060606061,3.387096774193548
"Track Type_Main, Visibility_Dark, Weather Condition_Rain",M,0.6666666666666666,0.005194805194805195,3.333333333333333
"RUCC_Metro_Adjacency_Metro, Region_Midwest, Track Type_Industry",T,0.6363636363636364,0.00808080808080808,3.1818181818181817
"Region_Midwest, Track Type_Industry",T,0.6268656716417911,0.012121212121212121,3.1343283582089554
"RUCC_Metro_Adjacency_Nonmetro_Nonadjacent, Track Type_Industry",T,0.625,0.005772005772005772,3.125
"Region_Midwest, Track Type_Industry, Weather Condition_Clear",T,0.6176470588235294,0.006060606060606061,3.088235294117647
"Track Type_Industry, Weather Condition_Cloudy",T,0.6,0.01038961038961039,2.9999999999999996
"Region_South, Track Type_Main, Weather Condition_Rain",M,0.59375,0.005483405483405483,2.96875
"Region_Midwest, Track Type_Industry, Visibility_Dark",T,0.59375,0.005483405483405483,2.96875
"RUCC_Metro_Adjacency_Metro, Track Type_Industry, Weather Condition_Cloudy",T,0.5909090909090909,0.007503607503607504,2.9545454545454546
"Track Type_Main, Weather Condition_Rain",M,0.5789473684210527,0.012698412698412698,2.8947368421052633
"RUCC_Metro_Adjacency_Metro, Track Type_Main, Weather Condition_Rain",M,0.5686274509803921,0.00836940836940837,2.8431372549019605
"RUCC_Metro_Adjacency_Metro, Track Type_Industry, Visibility_Day",T,0.5679012345679012,0.013275613275613276,2.839506172839506
"Region_West, Track Type_Main, Weather Condition_Cloudy",E,0.5294117647058824,0.005194805194805195,2.6470588235294117
"RUCC_Metro_Adjacency_Nonmetro_Adjacent, Track Type_Main, Visibility_Dark",E,0.5285714285714286,0.010678210678210679,2.642857142857143
"Track Type_Industry, Visibility_Day",T,0.5272727272727273,0.01673881673881674,2.6363636363636367
"Track Type_Industry, Visibility_Dark",T,0.49484536082474223,0.013852813852813853,2.474226804123711
Track Type_Industry,T,0.49186991869918695,0.03492063492063492,2.4593495934959346
"RUCC_Metro_Adjacency_Metro, Track Type_Industry",T,0.480225988700565,0.024531024531024532,2.401129943502825
"RUCC_Metro_Adjacency_Nonmetro_Adjacent, Track Type_Main, Weather Condition_Cloudy",E,0.4791666666666667,0.006637806637806638,2.3958333333333335
"Region_South, Track Type_Main, Visibility_Day",M,0.47761194029850745,0.027705627705627706,2.388059701492537
"RUCC_Metro_Adjacency_Nonmetro_Adjacent, Region_Midwest, Track Type_Main",E,0.47435897435897434,0.010678210678210679,2.3717948717948714
